invoice_id,payment_id,vendor,expected_amount,actual_amount,variance,posting_date,status,department,root_cause,recommended_action
53996401,PAY-0182985101,MACKAY METERS INC,781.54,662.32,-119.22,2021-10-19,underpaid,MTA Municipal Transprtn Agncy,Installment split created a short settlement,Match split installments against the original invoice value.
53951301,PAY-0193214701,VESTIS SERVICES LLC,92.61,92.61,0.0,2022-01-04,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53976001,PAY-0175052601,Jimmie Muscatello's,310.68,365.5,54.82,2021-07-28,overpaid,POL Police,Duplicate approval led to excess settlement,Reverse the duplicate approval and initiate vendor recovery.
53951301,PAY-0200469901,VESTIS SERVICES LLC,21.95,21.95,0.0,2022-03-07,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53960901,PAY-0196954101,CORE LINEN SERVICES INC.,23546.18,23546.18,0.0,2022-02-07,matched,DPH Public Health,Matched payment,No action required.
53976001,PAY-0176685801,Jimmie Muscatello's,10.46,12.31,1.85,2021-08-09,overpaid,POL Police,Tax or surcharge applied twice,Validate tax components and adjust the payment record.
54008201,PAY-0214347001,MISSION LINEN SUPPLY,830.53,856.22,25.69,2022-06-21,ledger_mismatch,DPH Public Health,Ledger sync delay or wrong department mapping,Reconcile ledger entry and correct department allocation.
53951301,PAY-0175070401,VESTIS SERVICES LLC,73.5,73.5,0.0,2021-08-19,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53983701,PAY-0202597601,VERIZON WIRELESS,305.34,359.22,53.88,2022-03-18,overpaid,PUC Public Utilities Commsn,Tax or surcharge applied twice,Validate tax components and adjust the payment record.
53969601,PAY-0192213901,TFB GLOBAL LLC,2138.05,2138.05,0.0,2021-12-23,matched,AIR Airport Commission,Matched payment,No action required.
53924401,PAY-0191031901,BlueTriton Brands Inc,26.35,26.35,0.0,2021-12-14,matched,DPH Public Health,Matched payment,No action required.
53968901,PAY-0205916901,CITY AUTO SUPPLY,355.01,355.01,0.0,2022-04-14,matched,AIR Airport Commission,Matched payment,No action required.
53976701,PAY-0211290201,MAINLINE SECURITY INC.,27.23,32.04,4.81,2022-05-30,overpaid,HOM Homelessness Services,Duplicate approval led to excess settlement,Reverse the duplicate approval and initiate vendor recovery.
53918301,PAY-0189394601,KONICA MINOLTA BUSINESS SOLUTNS USA INC,483.03,483.03,0.0,2021-11-30,matched,DPH Public Health,Matched payment,No action required.
53996701,PAY-0200463801,WESTERN STATES OIL,6085.24,5156.98,-928.26,2022-03-02,underpaid,FIR Fire Department,Partial payment or approval hold,Validate invoice approval path and release remaining balance.
53922101,PAY-0211710601,OFFICE DEPOT,33.9,33.9,0.0,2022-06-02,matched,DPH Public Health,Matched payment,No action required.
53921301,PAY-0200752701,INTERNATIONAL FIRE INC,290.45,290.45,0.0,2022-03-03,matched,ADM GSA - City Administrator,Matched payment,No action required.
53917201,PAY-0203020801,VESTIS SERVICES LLC,605.5,605.5,0.0,2022-03-22,matched,AIR Airport Commission,Matched payment,No action required.
54000501,PAY-0202147001,WESTSIDE COMMUNITY MENTAL HEALTH CTR INC,16014.47,16014.47,0.0,2022-03-15,duplicate_suspected,DPH Public Health,Possible duplicate voucher posting,Cross-check voucher references and stop secondary settlement.
53950801,PAY-0177479601,US FOODS INC,7617.91,7617.91,0.0,2021-08-17,matched,DPH Public Health,Matched payment,No action required.
53939401,PAY-0190938101,BOUND TREE MEDICAL LLC,648.43,648.43,0.0,2021-12-13,matched,FIR Fire Department,Matched payment,No action required.
53969601,PAY-0207593701,TFB GLOBAL LLC,295.64,295.64,0.0,2022-04-28,matched,AIR Airport Commission,Matched payment,No action required.
53947701,PAY-0202206801,GRM INFORMATION MANAGEMENT SERVICES,499.42,499.42,0.0,2022-03-16,matched,DPH Public Health,Matched payment,No action required.
53920801,PAY-0193057201,OFFICE DEPOT,10.86,10.86,0.0,2022-01-03,matched,DPH Public Health,Matched payment,No action required.
53933201,PAY-0204289501,SWCA ENVIRONMENTAL CONSULTANTS,127.5,127.5,0.0,2022-04-01,matched,MTA Municipal Transprtn Agncy,Matched payment,No action required.
53985001,PAY-0173714501,MEDLINE INDUSTRIES INC,1082.8,1273.88,191.08,2021-07-16,overpaid,DPH Public Health,Tax or surcharge applied twice,Validate tax components and adjust the payment record.
53945501,PAY-0204710301,CRESCO EQUIPMENT RENTALS,5105.38,5105.38,0.0,2022-04-25,matched,MTA Municipal Transprtn Agncy,Matched payment,No action required.
53952501,PAY-0174555501,VESTIS SERVICES LLC,693.27,693.27,0.0,2021-07-22,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53968901,PAY-0190996901,CITY AUTO SUPPLY,195.13,195.13,0.0,2021-12-14,matched,AIR Airport Commission,Matched payment,No action required.
53948201,PAY-0208016001,VESTIS SERVICES LLC,272.4,272.4,0.0,2022-05-02,matched,LIB Public Library,Matched payment,No action required.
53969201,PAY-0201084201,CAL-STEAM A WOLSELEY COMPANY,369.81,369.81,0.0,2022-03-08,matched,LIB Public Library,Matched payment,No action required.
53924401,PAY-0200152301,BlueTriton Brands Inc,33.69,33.69,0.0,2022-02-28,matched,DPH Public Health,Matched payment,No action required.
54008601,PAY-0185797901,KONICA MINOLTA BUSINESS SOLUTNS USA INC,733.98,756.68,22.7,2021-10-29,ledger_mismatch,DPH Public Health,Ledger update lag after payment clearance,Refresh ledger sync and confirm the final posted amount.
53919001,PAY-0189928901,CENTER HARDWARE CO INC,10.86,10.86,0.0,2021-12-03,matched,REC Recreation & Park Commsn,Matched payment,No action required.
53981701,PAY-0194726401,TREELINE SECURITY INC,2611.84,3072.75,460.91,2022-01-19,overpaid,PUC Public Utilities Commsn,Tax or surcharge applied twice,Validate tax components and adjust the payment record.
53944201,PAY-0204507701,GRM INFORMATION MANAGEMENT SERVICES,140.4,140.4,0.0,2022-04-04,matched,DPH Public Health,Matched payment,No action required.
54011001,PAY-0186041001,HILL-ROM COMPANY INC,2941.61,3032.59,90.98,2021-11-12,ledger_mismatch,DPH Public Health,Ledger update lag after payment clearance,Refresh ledger sync and confirm the final posted amount.
53970601,PAY-0178615701,SERRAMONTE FORD,553.16,553.16,0.0,2021-08-26,matched,AIR Airport Commission,Matched payment,No action required.
53969001,PAY-0190808001,XEROX CORPORATION,135.57,135.57,0.0,2021-12-13,matched,PUC Public Utilities Commsn,Matched payment,No action required.
53946901,PAY-0174266801,MICHAEL S WARR,18000.0,18000.0,0.0,2021-07-21,matched,ART Arts Commission,Matched payment,No action required.
53946201,PAY-0174270201,Lauren Garcia,18000.0,18000.0,0.0,2021-07-21,matched,ART Arts Commission,Matched payment,No action required.
53980201,PAY-0194059601,DUDEK,17665.63,20783.09,3117.46,2022-01-14,overpaid,AIR Airport Commission,Overpayment due to manual posting error,Investigate posting entry and recover excess payment.
53924401,PAY-0206983701,BlueTriton Brands Inc,107.09,107.09,0.0,2022-04-22,matched,DPH Public Health,Matched payment,No action required.
54009801,PAY-0206553301,CITY AUTO SUPPLY,24.99,25.76,0.77,2022-04-25,ledger_mismatch,MTA Municipal Transprtn Agncy,Ledger sync delay or wrong department mapping,Reconcile ledger entry and correct department allocation.
53996301,PAY-0182938601,MALTBY ELECTRIC SUPPLY CO INC,275.99,233.89,-42.1,2021-10-05,underpaid,AIR Airport Commission,Credit note offset applied incorrectly,Review offset rules and clear the short payment.
53931301,PAY-0208051301,KONICA MINOLTA BUSINESS SOLUTNS USA INC,519.84,519.84,0.0,2022-05-02,matched,DPH Public Health,Matched payment,No action required.
53970001,PAY-0173786401,CARDINALHEALTH MEDICAL PRODUCTS & SVCS,128.03,128.03,0.0,2021-07-21,matched,DPH Public Health,Matched payment,No action required.
53952701,PAY-0177269201,XTECH,3257.44,3257.44,0.0,2021-08-19,matched,AIR Airport Commission,Matched payment,No action required.
53914901,PAY-0207434701,KONICA MINOLTA BUSINESS SOLUTNS USA INC,10.16,10.16,0.0,2022-04-27,matched,DPH Public Health,Matched payment,No action required.
53948201,PAY-0190736701,VESTIS SERVICES LLC,272.4,272.4,0.0,2021-12-10,matched,LIB Public Library,Matched payment,No action required.
53957801,PAY-0184415901,OFFICE DEPOT,565.98,565.98,0.0,2021-10-19,matched,DPH Public Health,Matched payment,No action required.
53970401,PAY-0206166101,SAN FRANCISCO PAINTSOURCE INC,250.88,250.88,0.0,2022-04-15,matched,AIR Airport Commission,Matched payment,No action required.
53969601,PAY-0186359601,TFB GLOBAL LLC,169.77,169.77,0.0,2021-11-04,matched,AIR Airport Commission,Matched payment,No action required.
53970401,PAY-0190383601,SAN FRANCISCO PAINTSOURCE INC,131.96,131.96,0.0,2021-12-08,matched,AIR Airport Commission,Matched payment,No action required.
53968901,PAY-0180497201,CITY AUTO SUPPLY,146.85,146.85,0.0,2021-09-15,matched,AIR Airport Commission,Matched payment,No action required.
53961901,PAY-0173559501,MEDLINE INDUSTRIES INC,32.5,32.5,0.0,2021-07-15,matched,DPH Public Health,Matched payment,No action required.
53918001,PAY-0198564701,OFFICE DEPOT,60.81,60.81,0.0,2022-02-17,matched,DPH Public Health,Matched payment,No action required.
